serial,asset,platform,catalog,area,location,usage,status,allocation,username,hostname,fleet
SAMPLEWIN001,ASSET-0201,Windows,Staff,IT,B1101,Assigned,Active,Dana Whitfield,dwhitfield@example.ca,DANAWHITFIELD,
SAMPLEWIN002,ASSET-0202,Windows,Staff,IT,B1101,Assigned,Active,Marcus Iyer,miyer@example.ca,MARCUSIYER,
SAMPLEWIN003,ASSET-0203,Windows,Staff,Library,B1330,Assigned,Active,Robin Achebe,rachebe@example.ca,ROBINACHEBE,
SAMPLEWIN004,ASSET-0204,Windows,Faculty,Design,C2204,Assigned,Active,Priya Raman,praman@example.ca,PRIYARAMAN,
SAMPLEWIN005,ASSET-0205,Windows,Faculty,Media,D1140,Assigned,Active,Tomas Berg,tberg@example.ca,TOMASBERG,
SAMPLEWIN006,ASSET-0206,Windows,Curriculum,Design,C2210,Shared,Active,Render Bench 01,,DESIGN-C2210-W1,
SAMPLEWIN007,ASSET-0207,Windows,Curriculum,Design,C2210,Shared,Active,Render Bench 02,,DESIGN-C2210-W2,
SAMPLEWIN008,ASSET-0208,Windows,Curriculum,Design,C2204,Shared,Active,Design Bench 01,,DESIGN-C2204-W1,
SAMPLEWIN009,ASSET-0209,Windows,Curriculum,Media,D1140,Shared,Active,Audio Booth 01,,MEDIA-D1140-W1,
SAMPLEWIN010,ASSET-0210,Windows,Curriculum,Media,D1140,Shared,Active,Audio Booth 02,,MEDIA-D1140-W2,
SAMPLEWIN011,ASSET-0211,Windows,Kiosk,Library,B1330,Shared,Active,Library Signage,,LIB-B1330-K1,
SAMPLEWIN012,ASSET-0212,Windows,Provisioning,IT,B1101,Shared,Active,Imaging Bench,,IMAGING-01,
SAMPLEWIN013,ASSET-0213,Windows,Staff,IT,B1101,Assigned,Lost,Spare Laptop 04,,SPARE-04,
SAMPLEWIN014,ASSET-0214,Windows,Curriculum,Design,C2210,Shared,Retired,Render Bench 07,,DESIGN-C2210-W7,
